"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"BA",9,2002,2002-09-15,NA,NA,NA,NA,NA,95000,NA,NA,NA,NA,NA,40000,NA,NA,NA,NA,NA,0
"CHN",10,2002,2002-10-15,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,44030,NA,NA,NA,NA,NA,271
"CHC",10,2002,2002-10-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,22050,NA,NA,NA,NA,NA,0
"CHS",10,2002,2002-10-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,10500,NA,NA,NA,NA,NA,0
"BA",10,2002,2002-10-15,NA,NA,NA,NA,NA,99750,NA,NA,NA,NA,NA,31250,NA,NA,NA,NA,NA,0
"CHN",11,2002,2002-11-15,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,56633,NA,NA,NA,NA,NA,265
"CHC",11,2002,2002-11-15,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,100000,NA,NA,NA,NA,NA,0
"CHS",11,2002,2002-11-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,20700,NA,NA,NA,NA,NA,0
"BA",11,2002,2002-11-15,NA,NA,NA,NA,NA,112840,NA,NA,NA,NA,NA,40200,NA,NA,NA,NA,NA,0
"CHN",12,2002,2002-12-15,NA,NA,NA,NA,NA,1200,NA,NA,NA,NA,NA,44730,NA,NA,NA,NA,NA,430
"CHC",12,2002,2002-12-15,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,84255,NA,NA,NA,NA,NA,0
"CHS",12,2002,2002-12-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,29300,NA,NA,NA,NA,NA,20
"BA",12,2002,2002-12-15,NA,NA,NA,NA,NA,123490,NA,NA,NA,NA,NA,73950,NA,NA,NA,NA,NA,0
"CHN",1,2003,2003-01-15,550,0,0,0,0,550,77250,12600,0,21530,0,89850,700,150,100,0,0,850
"CHC",1,2003,2003-01-15,0,0,0,0,0,0,1200,23055,0,40055,0,24255,0,0,0,0,0,0
"CHS",1,2003,2003-01-15,0,0,0,0,0,0,50520,16080,23250,0,0,66600,0,0,0,0,0,0
"BA",1,2003,2003-01-15,144980,23400,3120,1000,42500,168380,54100,36800,0,63200,0,90900,45,0,0,0,0,45
"CHN",2,2003,2003-02-15,50000,0,0,0,0,50000,106010,10000,0,12620,0,116010,2070,150,0,150,0,2220
"CHC",2,2003,2003-02-15,0,0,0,0,0,0,2477,11805,0,20357,0,14282,0,0,0,0,0,0
"CHS",2,2003,2003-02-15,0,0,0,0,0,0,3220,1063,0,1350,0,4283,15,0,0,0,0,15
"BA",2,2003,2003-02-15,110460,14240,0,2950,38100,124700,28070,10480,0,41920,0,38550,35,0,0,0,0,35
"CHN",3,2003,2003-03-15,12500,0,0,0,0,12500,32350,11310,0,19285,0,43660,380,150,0,150,0,530
"CHC",3,2003,2003-03-15,20000,0,0,0,0,20000,22058,11805,0,0,0,33863,0,0,0,20077,0,0
"CHS",3,2003,2003-03-15,0,0,0,0,0,0,13120,1063,0,800,0,14183,0,0,0,0,0,0
"BA",3,2003,2003-03-15,110460,14240,0,0,38100,124700,28070,10480,0,0,0,38550,0,0,0,0,0,0
"CHN",4,2003,2003-04-15,25000,0,0,0,0,25000,61050,8300,4900,0,9510,69350,1010,150,0,150,0,1160
"CHC",4,2003,2003-04-15,3200,0,0,0,0,3200,51231,11782,0,0,11782,63013,0,0,0,0,0,0
"CHS",4,2003,2003-04-15,0,0,0,0,0,0,4700,0,0,0,0,4700,0,0,0,0,0,0
"BA",4,2003,2003-04-15,176800,3200,0,0,3200,180000,48500,2500,0,0,1500,51000,0,0,0,0,0,0
"CHN",5,2003,2003-05-15,30600,0,0,0,0,30600,86950,0,0,0,8950,86950,950,50,0,0,150,1000
"CHC",5,2003,2003-05-15,24000,0,0,0,0,24000,102530,0,0,0,0,102530,0,0,0,0,0,0
"CHS",5,2003,2003-05-15,0,0,0,0,0,0,10000,0,0,0,0,10000,8,0,0,0,0,8
"BA",5,2003,2003-05-15,112500,0,0,0,0,112500,35000,0,0,0,0,35000,0,0,0,0,0,0
